CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"1133940A",2555,897,381,11,18,0
"1133940B",2556,0,0,0,0,0
"1133950",2557,987,281,11,6,0
"1134000",2558,188,77,2,1,0
"1134001",2559,582,158,7,5,0
"1134002",2560,502,278,13,2,0
"1134003A",2561,154,36,1,1,0
"1134003B",2562,0,0,0,0,0
"1134004",2563,814,283,8,6,0
"1134005",2564,417,180,6,6,0
"1134006A",2565,628,307,8,0,0
"1134006B",2566,0,0,0,0,0
"1134007",2567,113,61,1,0,0
"1134008",2568,248,55,6,1,0
"1134009A",2569,700,175,7,9,0
"1134009B",2570,0,0,0,0,0
"1134010",2571,674,378,13,3,0
"1134011",2572,393,110,6,2,0
"1134012",2573,37,26,0,0,0
"1134013",2574,138,124,2,0,0
"1134014",2575,800,760,21,2,0
"1134015",2576,884,249,11,4,0
"1134016",2577,936,215,13,2,0
"1134017",2578,254,117,2,3,0
"1134018",2579,546,306,7,1,0
"1134019",2580,1467,286,19,4,0
"1134020",2581,522,163,7,2,0
"1134021",2582,2483,505,28,11,0
"1134022",2583,1560,348,29,5,0
"1134023",2584,1,1,0,0,0
"1134024",2585,1025,151,15,10,0
"1134025",2586,196,13,4,1,0
"1134026",2587,73,13,0,1,0
"1134027",2588,143,37,2,1,0
"1134028",2589,509,38,4,2,0
"1134029",2590,5,2,0,0,0
"1134030",2591,13,2,0,0,0
"1134031",2592,1099,96,5,6,0
"1134032",2593,2092,570,36,10,0
"1134033",2594,1086,391,19,5,0
"1134035",2595,692,104,4,3,0
"1134036",2596,435,61,2,2,0
"1134037",2597,96,21,2,1,0
"1134038",2598,1042,114,8,8,0
"1134039",2599,282,28,0,0,0
"1134040",2600,365,28,3,7,0
"1134041",2601,370,35,5,3,0
"1134043",2602,616,82,4,7,0
"1134044",2603,519,62,2,5,0
"1134046",2604,592,65,5,8,0
"1134047",2605,412,29,1,5,0
"1134048",2606,1,6,1,0,0
"1134049",2607,0,0,0,0,0
"1134050",2608,2298,661,28,14,0
"1134051",2609,1,0,0,0,0
"1134052",2610,2383,724,29,9,0
"1134053",2611,220,64,0,2,0
"1134054",2612,241,62,1,1,0
"1134055",2613,1176,332,12,10,0
"1134056",2614,1345,219,5,10,0
"1134057",2615,776,190,10,4,0
"1134058",2616,443,134,5,0,0
"1134059",2617,186,45,4,1,0
"1134060",2618,1053,236,10,7,0
"1134061",2619,1033,282,9,13,0
"1134062",2620,827,208,9,9,0
"1134063",2621,1478,358,14,8,0
"1134065",2622,434,126,5,4,0
"1134066",2623,461,145,4,6,0
"1134067",2624,901,237,14,5,0
"1134068",2625,890,230,7,8,0
"1134069",2626,1457,322,19,11,0
"1134070",2627,701,164,10,4,0
"1134071",2628,158,37,2,0,0
"1134072",2629,139,27,0,0,0
"1134073",2630,833,229,13,1,0
"1134074",2631,1537,357,25,2,0
"1134075",2632,522,113,4,5,0
"1134076",2633,1310,355,13,6,0
"1134077",2634,619,108,6,12,0
"1134078",2635,1084,228,17,6,0
"1134079",2636,2477,768,36,12,0
"1134080",2637,377,197,12,1,0
"1134081",2638,1418,279,7,12,0
"1134082",2639,966,193,10,6,0
"1134083",2640,743,178,8,2,0
"1134084",2641,281,50,1,3,0
"1134085",2642,398,102,2,4,0
"1134086",2643,1361,310,9,8,0
"1134087",2644,379,82,5,3,0
"1134088",2645,177,39,2,0,0
"1134090",2646,36,17,1,0,0
"1134091A",2647,0,0,0,0,0
"1134091B",2648,0,0,0,0,0
"1134091C",2649,0,0,0,0,0
"1134092",2650,85,29,2,1,0
"1134093",2651,54,1,1,0,0
"1134094",2652,239,95,1,2,0
"1134095",2653,20,12,0,0,0
"1134096",2654,2,7,0,0,0
"1134097A",2655,451,182,9,2,0
"1134097B",2656,0,0,0,0,0
"1134098",2657,25,12,0,0,0
"1134099",2658,537,466,8,3,0
"1134100",2659,15,2,0,0,0
"1134101",2660,55,6,0,0,0
"1134102",2661,115,98,2,0,0
"1134103",2662,74,24,0,0,0
"1134104",2663,18,6,1,0,0
"1134105",2664,0,0,0,0,0
"1134106",2665,66,42,2,0,0
"1134107",2666,65,9,0,0,0
"1134108",2667,27,2,0,0,0
"1134109",2668,32,3,0,0,0
"1134110",2669,477,25,3,4,0
"1134111",2670,145,48,2,1,0
"1134112",2671,25,57,5,0,0
"1134113",2672,875,279,11,11,0
"1134114",2673,730,199,8,6,0
"1134115",2674,205,63,4,0,0
"1134116",2675,0,0,0,0,0
"1134117",2676,17,12,0,0,0
"1134118",2677,0,0,0,0,0
"1134119",2678,2,2,0,0,0
"1134120",2679,261,41,2,1,0
"1134121",2680,0,0,0,0,0
"1134122",2681,0,0,0,0,0
"1134123",2682,0,0,0,0,0
"1134124",2683,0,0,0,0,0
"1134125",2684,0,0,0,0,0
"1134300",2685,581,224,10,7,0
"1134500",2686,1122,639,9,7,0
"1134501",2687,953,613,21,5,0
"1134502",2688,1646,847,24,10,0
"1134503",2689,2200,888,21,15,0
"1134504",2690,572,354,4,5,0
"1134505",2691,810,533,9,8,0
"1134506",2692,493,352,11,9,0
"1134507",2693,542,79,5,3,0
"1134508",2694,208,136,6,2,0
"1134509",2695,463,506,7,3,0
"1134510",2696,776,421,14,4,0
"1134511",2697,627,397,9,7,0
"1134512",2698,432,412,10,5,0
"1134513",2699,987,451,10,10,0
"1134514",2700,462,405,10,4,0
"1134515",2701,763,328,13,6,0
"1134516",2702,15,3,0,0,0
"1134517",2703,1040,1186,35,11,0
"1134518",2704,718,477,10,4,0
"1134519",2705,1447,942,16,8,0
"1134520",2706,381,205,3,5,0
"1134521",2707,1730,1197,26,10,0
"1134522",2708,1607,857,26,10,0
"1134523",2709,300,146,3,2,0
"1134525",2710,555,258,8,9,0
"1134527",2711,575,316,12,7,0
"1134528",2712,0,0,0,0,0
"1134529",2713,327,205,5,3,0
"1134530",2714,124,25,4,0,0
"1134531",2715,155,189,3,3,0
"1134532",2716,101,77,3,1,0
"1134533",2717,435,243,6,4,0
"1134534",2718,38,10,0,0,0
"1134535",2719,330,168,3,4,0
"1134536",2720,18,10,0,0,0
"1134537",2721,3,0,0,0,0
"1134538",2722,353,161,7,4,0
"1134539",2723,0,0,0,0,0
"1134540",2724,0,0,0,0,0
"1134541",2725,0,0,0,0,0
"1134542",2726,0,0,0,0,0
"1134600",2727,883,770,22,0,0
"1134601",2728,1326,1273,25,13,0
"1134602",2729,720,567,14,4,0
"1134603",2730,21,8,0,0,0
"1134604",2731,1047,782,15,3,0
"1134605",2732,864,688,13,5,0
"1134606",2733,1010,726,25,4,0
"1134607",2734,689,432,15,5,0
"1134608A",2735,1578,668,23,16,0
"1134608B",2736,0,0,0,0,0
"1134609",2737,834,252,11,8,0
"1134610",2738,761,745,21,4,0
"1134611",2739,592,443,8,5,0
"1134612",2740,114,108,2,2,0
"1134613",2741,319,113,3,3,0
"1134614",2742,150,218,11,1,0
"1134615",2743,76,57,0,0,0
"1134616",2744,483,287,7,1,0
"1134617",2745,67,55,1,0,0
"1134618",2746,176,125,3,0,0
"1134619",2747,445,504,9,1,0
"1134620",2748,588,477,13,5,0
"1134621",2749,1741,501,23,15,0
"1134622",2750,760,514,16,6,0
"1134623",2751,988,580,12,9,0
"1134624",2752,621,476,9,11,0
"1134625",2753,820,711,17,3,0
"1134626",2754,1012,993,18,5,0
"1134627A",2755,2298,1415,58,5,0
"1134627B",2756,0,0,0,0,0
"1134628",2757,972,239,18,8,0
"1134629",2758,571,273,5,3,0
"1134630",2759,558,532,12,1,0
"1134631",2760,464,406,12,4,0
"1134632",2761,893,374,6,5,0
"1134633",2762,444,170,6,4,0
"1134634",2763,1510,1141,26,8,0
"1134635",2764,758,351,14,3,0
"1134636",2765,3,0,0,0,0
"1134637",2766,1896,991,31,13,0
"1134639",2767,254,128,4,1,0
"1134640",2768,1264,455,20,11,0
"1134641",2769,215,146,5,1,0
"1134642",2770,50,44,0,2,0
"1134644",2771,348,182,7,0,0
"1134645",2772,55,25,0,0,0
"1134646",2773,174,161,4,2,0
"1134647",2774,1550,1201,21,6,0
"1134648",2775,1072,346,10,5,0
"1134649",2776,37,11,0,1,0
"1134651",2777,18,6,1,0,0
"1134652",2778,332,145,4,6,0
"1134653",2779,32,13,0,0,0
"1134654",2780,417,259,3,5,0
"1134655",2781,6,41,0,0,0
"1134656",2782,59,25,0,0,0
"1134657",2783,33,13,0,1,0
"1134658",2784,27,29,1,0,0
"1134659",2785,91,51,1,1,0
"1134660",2786,14,9,0,0,0
"1134661",2787,380,140,0,4,0
"1134662",2788,96,51,2,2,0
"1134663",2789,0,0,0,0,0
"1134664",2790,1088,583,23,6,0
"1150001",2791,219,409,3,2,0
"1150002",2792,205,427,7,2,0
"1150003",2793,200,902,7,1,0
"1150004",2794,137,814,5,0,0
"1150005",2795,12,88,0,0,0
"1150011",2796,8,96,0,0,0
"1150012",2797,9,49,2,0,0
"1150013",2798,9,88,0,0,0
"1150017",2799,4,59,1,0,0
"1170001",2800,256,565,7,1,0
"1170002",2801,324,550,10,4,0
"1170003",2802,354,1497,11,6,0
"1170004",2803,329,681,7,6,0
"1190001",2804,76,527,5,1,0
"1190003",2805,81,228,2,2,0
"1190004",2806,52,305,6,0,0
"1190005",2807,92,490,5,0,0
"1190007",2808,20,157,2,0,0
"1190009",2809,21,199,0,0,0
"1190010",2810,61,256,4,0,0
"1211000",2811,429,1842,28,5,1
"1211001",2812,260,1021,11,1,0
"1211002",2813,263,997,11,3,0
"1211003",2814,562,1976,29,3,0
"1211004",2815,1594,1671,41,8,7
"1211005",2816,390,1536,24,1,1
"1211006",2817,1917,2418,77,9,1
"1211007",2818,1610,2005,55,3,1
"1211008",2819,270,754,13,1,0
"1211009",2820,1211,1047,41,7,0
"1211010",2821,1033,1171,36,14,3
"1211011",2822,1331,852,45,11,2
"1211012",2823,1196,966,37,9,1
"1211013",2824,983,1089,34,12,0
"1211014",2825,160,51,7,2,0
"1211015",2826,975,1115,39,6,3
"1211016",2827,1142,1521,30,11,2
"1211017",2828,435,606,10,5,0
"1211018",2829,1771,2056,70,11,9
"1211019",2830,1026,1040,37,2,1
"1211020",2831,1230,2190,46,7,4
"1211021",2832,960,1706,30,5,0
"1211022",2833,1077,1683,58,7,1
"1211023",2834,1120,1917,54,7,3
"1211024",2835,479,1274,19,3,0
"1211025",2836,1603,2488,55,7,3
"1211026",2837,1521,1164,40,3,0
"1211027",2838,823,671,12,1,0
"1211028",2839,1199,934,30,3,0
"1211029",2840,1375,1456,33,5,2
"1211030",2841,1565,2102,36,3,1
"1211031",2842,984,1273,27,9,2
"1211032",2843,1955,2358,40,6,0
"1211033",2844,2164,1822,38,7,3
"1211034",2845,1866,2064,38,5,1
"1211035",2846,982,1498,19,0,0
"1211036",2847,1528,2841,20,5,0
"1211037",2848,184,526,8,5,1
"1211038",2849,153,99,8,0,0
"1211039",2850,61,71,0,0,0
"1211040",2851,924,1371,29,6,1
"1211041",2852,2296,2182,46,10,0
"1211042",2853,24,128,3,1,0
"1211043",2854,406,455,21,2,0
"1211044",2855,2163,2674,56,6,1
"1211045",2856,237,1019,20,3,0
"1211046",2857,1541,1799,47,9,3
"1211047",2858,195,306,4,1,0
"1211048",2859,201,429,2,4,1
"1211049",2860,374,315,5,1,0
"1211050",2861,979,1234,18,3,0
"1211051",2862,762,1007,13,6,0
"1211052",2863,1612,1588,17,4,0
"1211053",2864,600,1693,44,9,0
"1211054",2865,1400,840,25,8,1
"1211055",2866,656,577,9,3,0
"1211056",2867,701,737,9,3,0
"1211057",2868,440,348,7,2,1
"1212000",2869,1954,568,32,12,1
"1212001",2870,1770,648,40,12,1
"1212002",2871,2183,1042,47,13,0
"1212003",2872,904,627,19,4,1
"1212004",2873,1626,1001,40,6,1
"1212005",2874,1635,1637,40,10,1
"1212006",2875,1465,1269,21,6,2
"1212007",2876,2175,1253,29,6,2
"1212008",2877,1658,1150,44,8,4
"1212009",2878,965,864,22,7,1
"1212010",2879,1705,1534,35,6,3
"1212011",2880,1377,1127,36,4,1
"1212012",2881,696,992,18,3,1
"1212013",2882,661,753,12,5,2
"1212014",2883,1065,1152,29,2,2
"1212015A",2884,1749,1544,39,6,3
"1212015B",2885,0,0,0,0,0
"1212016",2886,1593,1293,50,9,1
"1212017",2887,1751,2381,44,5,1
"1212018",2888,2163,1388,44,10,0
"1212019",2889,0,0,0,0,0
"1212020",2890,1422,2127,24,5,0
"1212021",2891,1589,1467,47,6,3
"1212022",2892,952,1330,41,6,1
"1212023",2893,1446,1463,39,6,1
"1212024",2894,770,819,33,8,0
"1212025",2895,750,870,28,8,0
"1212026",2896,1197,1592,56,6,0
"1212027",2897,1541,2194,44,9,5
"1212028",2898,1562,1316,73,7,7
"1212029",2899,1066,900,24,8,1
"1212030",2900,2115,1803,51,8,4
"1212031",2901,1595,1462,38,10,3
"1212032",2902,992,998,22,4,3
"1212033",2903,1616,988,34,9,3
"1212034",2904,1461,875,19,4,0
"1212035",2905,1549,1299,28,10,3
"1212036",2906,347,307,10,1,0
"1212096",2907,0,0,0,0,0
"1212097",2908,0,0,0,0,0
"1212098",2909,0,0,0,0,0
"1212099",2910,0,0,0,0,0
"1213000",2911,1166,1859,47,7,1
"1213001",2912,945,1929,39,9,2
"1213002",2913,1342,2286,46,8,0
"1213003",2914,876,1371,20,5,0
"1213004",2915,867,1636,44,4,2
"1213005",2916,556,1080,24,4,3
"1213006",2917,1416,1611,52,17,3
"1213007",2918,1753,1437,42,10,1
"1213008",2919,981,1265,37,7,6
"1213009",2920,853,1071,26,10,1
"1213010",2921,1697,1548,41,11,6
"1213011",2922,1757,1298,37,10,2
"1213012",2923,660,720,15,5,0
"1213013",2924,994,931,32,6,0
"1213014",2925,861,754,26,4,0
"1213015",2926,1025,702,27,2,1
"1213016",2927,944,500,24,4,1
"1213017",2928,1744,683,29,16,4
"1213018",2929,544,409,14,3,2
"1213019",2930,2217,1289,33,7,0
"1213020",2931,423,200,10,1,0
"1213021",2932,1887,1725,30,8,2
"1213022",2933,73,105,2,0,0
"1213023",2934,194,180,5,1,0
"1213024",2935,1315,1602,26,7,2
"1213025",2936,1433,1948,38,12,9
"1213026",2937,894,1170,28,2,2
"1213027",2938,1553,1946,47,10,0
"1213028",2939,1437,1933,60,5,6
"1213029",2940,839,1105,34,8,0
"1213030",2941,809,1203,31,6,2
"1213031",2942,1064,1679,29,4,0
"1213032",2943,1020,430,20,3,0
"1213033",2944,925,1198,26,5,0
"1213098",2945,0,0,0,0,0
"1213099",2946,0,0,0,0,0
"1214000",2947,948,2636,61,8,2
"1214001",2948,324,939,23,4,0
"1214002",2949,631,2420,35,6,0
"1214003",2950,1125,2952,28,2,1
"1214004",2951,1065,290,25,16,1
"1214005",2952,1127,907,34,15,3
"1214006",2953,1147,649,20,8,1
"1214007",2954,1331,511,34,17,4
"1214008",2955,899,305,21,14,4
"1214009",2956,1718,688,35,16,5
"1214010",2957,863,540,43,9,3
"1214011",2958,2610,1061,53,30,1
"1214012",2959,1002,1085,31,4,3
"1214013",2960,184,65,4,2,0
"1214014",2961,1005,162,22,8,2
"1214015",2962,368,158,6,4,0
"1214016",2963,0,1,0,0,0
"1214017",2964,777,2845,29,6,4
"1214018",2965,581,1267,30,2,1
"1214019",2966,47,143,0,0,0
"1214020",2967,218,593,5,0,0
"1214021",2968,351,1128,13,1,0
"1214022",2969,579,1496,19,4,3
"1214023A",2970,959,1845,25,6,1
"1214023B",2971,79,150,2,0,0
"1214024",2972,944,1559,29,6,6
"1214025",2973,1315,1551,32,6,1
"1214026",2974,598,741,14,7,5
"1214027",2975,1517,1851,36,6,3
"1214028",2976,1137,2520,51,4,0
"1214029",2977,344,810,15,1,1
"1214030",2978,133,265,3,1,0
"1214031",2979,1057,2467,44,8,3
"1214032",2980,1389,2887,59,5,6
"1214033",2981,854,1676,32,6,1
"1214034",2982,1366,2367,56,11,1
"1214035",2983,1819,4038,58,8,4
"1214036",2984,565,2228,34,4,0
"1214037",2985,828,457,26,3,1
"1214038",2986,73,134,1,1,0
"1214039",2987,1116,179,26,12,3
"1214040",2988,543,415,19,7,2
"1214041",2989,916,760,36,3,2
"1214042",2990,7,26,0,0,0
"1214043",2991,820,1820,20,5,7
"1214044",2992,915,2183,57,5,0
"1214045",2993,2100,353,56,17,2
"1214046",2994,1004,1989,34,3,4
"1214047",2995,608,1082,37,5,2
"1214048",2996,1445,2599,71,10,1
"1214049",2997,317,1278,23,3,1
"1230101",2998,193,896,10,1,0
"1230102",2999,317,237,10,2,0
"1230201",3000,51,322,1,1,0
"1230202",3001,142,620,2,0,0
"1230203",3002,91,616,2,0,0
"1230301",3003,127,878,5,1,0
"1230302",3004,136,678,3,1,0
"1230303",3005,51,251,0,2,0
"1230401",3006,308,1262,9,3,0
"1230402",3007,78,807,4,0,0
"1250001",3008,9,74,1,0,0
"1250002",3009,10,80,0,1,0
"1250003A",3010,7,48,0,0,0
"1250003B",3011,9,44,1,1,0
"1250003C",3012,27,121,0,0,0
"1250004A",3013,23,120,1,0,0
"1250004B",3014,1,3,0,0,0
"1250005",3015,16,152,0,0,0
"1250006",3016,28,211,0,0,0
"1270001",3017,522,399,5,1,0
"1270002",3018,566,303,0,3,0
"1270003",3019,147,117,1,3,0
"1270004",3020,33,32,0,0,0
"1270005",3021,448,167,0,1,0
"1270006",3022,321,218,2,0,0
"1270007",3023,227,148,2,0,0
"1290101",3024,15,102,2,0,0
"1290102",3025,27,237,3,0,0
"1290201",3026,66,382,2,1,0
"1290301",3027,14,130,0,0,0
"1290303",3028,25,232,1,0,0
"1290401",3029,51,355,3,0,0
"1310001",3030,730,548,6,3,0
"1310002",3031,553,336,4,2,0
"1310003",3032,184,85,1,1,0
"1310004",3033,42,54,0,0,0
"1310005",3034,131,130,2,1,0
"1310006",3035,66,30,0,0,0
"1310007",3036,22,69,0,0,0
"1310008",3037,456,879,4,4,0
"1310009",3038,391,312,5,2,0
"1330001",3039,240,1649,17,4,0
"1330002",3040,29,230,5,0,0
"1330003",3041,166,870,10,3,0
"1330004",3042,20,223,3,0,0
"1330005",3043,52,417,3,0,1
"1330006",3044,25,248,1,0,0
"1330007",3045,146,1348,7,1,0
"1330008",3046,260,1822,12,4,0
"1330009",3047,45,430,2,0,0
"1350101",3048,576,2167,21,3,0
"1350102",3049,493,1390,17,4,0
"1350103",3050,199,740,6,2,0
"1350104",3051,40,149,0,0,0
"1350106",3052,200,674,5,1,0
"1350107",3053,109,496,8,1,0
"1350108",3054,283,1449,11,4,0
"1350109",3055,17,134,0,0,0
"1350110",3056,736,2473,37,5,0
"1350111",3057,101,247,5,3,0
"1350201",3058,872,3753,34,4,0
"1350202",3059,374,1532,25,3,2
"1350203",3060,400,1513,19,4,0
"1350204",3061,193,840,12,2,1
"1350205",3062,298,1045,21,6,0
"1350206",3063,52,391,5,1,0
"1350207",3064,99,1261,12,1,0
"1350208",3065,593,1989,33,4,1
"1350209",3066,203,548,7,1,0
"1350301",3067,504,915,13,3,0
"1350302",3068,183,452,11,1,0
"1350303",3069,339,667,7,4,0
"1350304",3070,90,162,5,0,0
"1350305",3071,125,182,1,1,1
"1350306",3072,232,365,1,2,0
"1350307",3073,420,782,15,1,0
"1350308",3074,136,429,3,1,2
"1350309",3075,203,588,17,1,0
"1350311",3076,178,453,4,0,0
"1350312",3077,218,653,17,3,1
"1350401",3078,149,290,4,1,0
"1350402",3079,522,406,6,3,1
"1350403",3080,694,545,4,6,0
"1350404",3081,247,662,6,2,0
"1350405",3082,202,212,4,1,0
"1350406",3083,501,777,13,6,0
"1350407",3084,130,518,4,3,0
"1350408",3085,140,167,6,1,0
"1350409",3086,180,470,2,0,0
"1350412",3087,136,211,7,0,1
"1370001",3088,24,142,0,0,0
"1370002",3089,46,311,2,0,0
"1370003",3090,45,273,3,0,0
"1370004",3091,53,167,0,0,0
"1390101",3092,940,1949,34,9,12
"1390102",3093,775,2198,44,10,9
"1390103",3094,1101,2688,61,14,12
"1390104",3095,736,2141,32,5,8
"1390105",3096,1223,2961,42,10,19
"1390106",3097,514,2066,24,2,5
"1390107",3098,861,2256,40,6,6
"1390108",3099,708,2068,39,6,6
"1390109",3100,429,1039,18,2,4
"1390110",3101,1881,1669,30,16,9
"1390111",3102,598,1432,17,3,6
"1390112",3103,373,1110,21,2,2
"1390113",3104,873,327,8,7,3
"1390114",3105,471,1112,12,3,3
"1390115",3106,468,821,17,3,6
"1390116",3107,433,997,21,6,3
"1390117",3108,533,1176,34,8,10
"1390118",3109,648,1244,23,6,8
"1390119",3110,282,769,12,1,3
"1390120",3111,107,312,1,0,0
"1390121",3112,465,1119,11,3,4
"1390122",3113,251,630,10,3,3
"1390123",3114,372,76,2,4,1
"1390124",3115,513,309,11,2,1
"1390125",3116,782,2047,20,9,2
"1390126",3117,252,469,8,6,1
"1390127",3118,85,210,1,1,0
"1390128",3119,45,50,0,1,0
"1390129",3120,149,370,11,1,0
"1390130",3121,108,308,4,0,2
"1390131",3122,363,965,9,3,4
"1390132",3123,77,385,0,1,0
"1390133",3124,101,331,1,1,0
"1390134",3125,100,471,5,2,1
"1390135",3126,483,2546,38,3,2
"1390136",3127,75,372,0,1,4
"1390137",3128,188,763,8,1,1
"1390138",3129,284,1102,20,2,0
"1390139",3130,191,624,9,2,4
"1390140",3131,1683,2937,67,11,14
"1390141",3132,386,1129,17,0,0
"1390142",3133,408,1075,25,4,1
"1390143",3134,648,1587,30,5,9
"1390144",3135,1005,590,9,3,7
"1390145",3136,1578,1185,30,9,15
"1390146",3137,925,1272,28,7,4
"1390147",3138,929,1913,23,6,7
"1390148",3139,813,945,19,8,7
"1390149",3140,352,602,8,2,4
"1410001",3141,790,377,14,7,0
"1410002",3142,1391,829,27,13,0
"1410003",3143,996,620,13,12,0
"1410004",3144,587,370,8,8,0
"1410005",3145,1165,611,23,9,0
"1410006",3146,759,843,12,4,0
"1410007",3147,1127,765,16,6,0
"1410008",3148,781,886,22,1,0
"1410009",3149,1408,1113,18,10,0
"1410010",3150,1649,610,20,14,0
"1410011",3151,1636,739,28,14,0
"1410012",3152,621,405,8,2,0
"1410013",3153,1421,753,23,14,0
"1410014",3154,1613,1174,23,5,0
"1410015",3155,1099,809,14,6,0
"1410016",3156,1497,663,21,11,0
"1410017",3157,717,493,22,2,0
"1410018",3158,1255,1001,14,6,0
"1410019",3159,1504,758,18,12,0
"1410020",3160,527,255,9,3,0
"1410021",3161,843,739,7,4,0
"1410022",3162,1093,607,15,12,0
"1410023",3163,598,450,8,3,0
"1410024",3164,1364,919,23,13,0
"1410025",3165,1183,654,19,8,0
"1410026",3166,750,401,22,5,0
"1410027",3167,854,289,15,5,0
"1410028",3168,154,50,2,2,0
"1410029",3169,1131,425,9,12,0
"1410030",3170,91,12,1,0,0
"1410031",3171,695,254,13,8,0
"1410032",3172,812,332,10,2,0
"1410033",3173,1036,390,11,5,0
"1410034",3174,291,106,3,4,0
"1410035",3175,972,382,19,9,0
"1410036",3176,947,210,21,12,0
"1410037",3177,761,253,21,15,0
"1410038",3178,845,236,15,4,0
"1410039",3179,230,90,8,3,0
"1410040",3180,364,73,4,2,0
"1410041",3181,410,103,12,2,0
"1410042",3182,619,202,9,8,0
"1410043",3183,806,683,25,4,0
"1410044",3184,1118,728,28,8,0
"1410045",3185,1425,762,34,15,0
"1410046",3186,557,239,14,2,0
"1410047",3187,966,642,15,4,0
"1410048",3188,764,307,11,6,0
"1410049",3189,601,361,22,3,0
"1410050",3190,919,466,30,7,0
"1410051",3191,837,509,12,10,0
"1410052",3192,841,419,14,4,0
"1410053",3193,1054,518,26,10,0
"1410054",3194,795,358,13,10,0
"1410055",3195,870,569,17,6,0
"1410056",3196,776,556,14,15,0
"1410057",3197,535,299,15,5,0
"1410058",3198,611,402,19,5,0
"1410059",3199,941,412,21,11,0
"1410060",3200,776,706,18,1,0
"1410061",3201,571,351,12,10,0
"1410062",3202,520,204,10,5,0
"1410063",3203,934,395,14,15,0
"1410064",3204,997,335,8,8,0
"1410065",3205,202,217,16,5,0
"1410066",3206,873,323,3,7,0
"1410067",3207,843,353,14,7,0
"1410068",3208,260,98,6,2,0
"1410069",3209,1586,537,23,11,0
"1410070",3210,1066,354,13,4,0
"1410071",3211,898,275,12,5,0
"1410072",3212,594,165,12,8,0
"1410073",3213,535,153,7,4,0
"1410074",3214,858,249,8,14,0
"1410075",3215,717,292,8,6,0
"1410076",3216,523,181,7,2,0
"1410077",3217,1001,339,9,9,0
"1410078",3218,521,208,12,3,0
"1410079",3219,263,67,3,3,0
"1410080",3220,555,125,9,9,0
"1410081",3221,113,50,2,0,0
"1410082",3222,866,226,10,5,0
"1410083",3223,517,129,13,12,0
"1410084",3224,891,226,7,9,0
"1410085",3225,633,178,5,12,0
"1410086",3226,244,253,21,3,0
"1410087",3227,5,1,0,0,0
"1410088A",3228,260,285,20,3,0
"1410088B",3229,1,1,0,0,0
"1410089",3230,1289,439,19,8,0
"1410090",3231,818,433,9,7,0
"1410091",3232,394,162,1,3,0
"1410092",3233,1271,722,13,6,0
"1410093",3234,676,302,7,5,0
"1410094",3235,1145,475,12,4,0
"1410095",3236,1190,551,14,8,0
"1410096",3237,1285,752,16,7,0
"1410097",3238,805,370,5,7,0
"1410098",3239,842,480,11,7,0
"1410099",3240,527,249,10,3,0
"1410100",3241,1349,559,19,10,0
"1410101",3242,993,540,10,3,0
"1410102",3243,982,409,12,5,0
"1410103",3244,736,461,12,2,0
"1410104",3245,1137,620,24,8,0
"1410105",3246,1116,529,15,6,0
"1410106",3247,1198,531,14,11,0
"1410107",3248,927,410,9,5,0
"1410108",3249,804,526,15,6,0
"1410109",3250,776,388,12,4,0
"1410110",3251,1317,602,10,8,0
"1410111",3252,1031,448,6,6,0
"1410112",3253,1488,555,19,20,0
"1410113",3254,1135,473,14,3,0
"1410114",3255,1925,752,27,18,0
"1410115",3256,1043,544,23,6,0
"1410116",3257,1656,788,25,12,0
"1410117",3258,1303,574,20,16,0
"1410118",3259,1044,459,12,5,0
"1410119",3260,1213,563,16,3,0
"1410120",3261,1298,520,13,12,0
"1410121",3262,878,310,10,2,0
"1410122",3263,1573,608,13,12,0
"1410123",3264,1304,476,12,9,0
"1410124",3265,1391,470,11,14,0
"1410125",3266,2048,866,26,13,0
"1410126",3267,2155,1074,29,12,0
"1410127",3268,153,97,4,3,0
"1410128",3269,1459,846,22,14,0
"1410129",3270,1629,864,29,8,0
"1410130",3271,1667,716,19,12,0
"1410131",3272,842,355,11,4,0
"1410132",3273,167,53,7,1,0
"1410133",3274,1066,264,10,11,0
"1410134",3275,478,206,5,7,0
"1410135",3276,927,265,10,12,0
"1410136",3277,717,198,6,8,0
"1410137",3278,818,210,7,4,0
"1410138",3279,902,229,9,10,0
"1410139",3280,852,302,12,8,0
"1410140",3281,701,223,12,11,0
"1410141",3282,527,176,7,4,0
"1410142",3283,458,134,4,5,0
"1410143",3284,1031,241,11,10,0
"1410144",3285,1068,322,8,10,0
"1410145",3286,1008,341,11,8,0
"1410146",3287,525,158,5,2,0
"1410147",3288,581,216,8,3,0
"1410148",3289,937,274,10,6,0
"1410149",3290,1045,341,11,9,0
"1410150",3291,703,216,4,11,0
"1410151",3292,887,272,7,4,0
"1410152",3293,834,211,4,6,0
"1410153",3294,1028,301,9,9,0
"1410154",3295,900,251,12,4,0
"1410155",3296,435,140,8,4,0
"1410156",3297,1193,325,13,11,0
"1410157",3298,648,183,9,2,0
"1410158",3299,629,451,7,7,0
"1410159",3300,597,238,10,10,0
"1410160",3301,971,379,9,11,0
"1410161",3302,405,200,3,3,0
"1410162",3303,1297,449,15,9,0
"1410163",3304,912,409,5,10,0
"1410164",3305,1203,471,8,8,0
"1410165",3306,1270,453,19,17,0
